Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;03 Asturias, Principado de;General;Índice;2011T4;127,323
Nacional;03 Asturias, Principado de;General;Índice;2011T3;134,660
Nacional;03 Asturias, Principado de;General;Índice;2011T2;135,693
Nacional;03 Asturias, Principado de;General;Índice;2011T1;138,430
Nacional;03 Asturias, Principado de;General;Índice;2010T4;142,186
Nacional;03 Asturias, Principado de;General;Índice;2010T3;139,765
Nacional;03 Asturias, Principado de;General;Índice;2010T2;144,669
Nacional;03 Asturias, Principado de;General;Índice;2010T1;142,162
Nacional;03 Asturias, Principado de;General;Índice;2009T4;143,684
Nacional;03 Asturias, Principado de;General;Índice;2009T3;144,679
Nacional;03 Asturias, Principado de;General;Índice;2009T2;144,351
Nacional;03 Asturias, Principado de;General;Índice;2009T1;144,477
Nacional;03 Asturias, Principado de;General;Índice;2008T4;144,401
Nacional;03 Asturias, Principado de;General;Índice;2008T3;145,396
Nacional;03 Asturias, Principado de;General;Índice;2008T2;145,714
Nacional;03 Asturias, Principado de;General;Índice;2008T1;147,078
Nacional;03 Asturias, Principado de;General;Índice;2007T4;146,787
Nacional;03 Asturias, Principado de;General;Índice;2007T3;146,732
Nacional;03 Asturias, Principado de;General;Índice;2007T2;143,559
Nacional;03 Asturias, Principado de;General;Índice;2007T1;138,726
Nacional;04 Balears, Illes;General;Índice;2025T3;199,625
Nacional;04 Balears, Illes;General;Índice;2025T2;192,349
Nacional;04 Balears, Illes;General;Índice;2025T1;185,053
Nacional;04 Balears, Illes;General;Índice;2024T4;179,469
Nacional;04 Balears, Illes;General;Índice;2024T3;177,025
Nacional;04 Balears, Illes;General;Índice;2024T2;172,207
Nacional;04 Balears, Illes;General;Índice;2024T1;168,273
Nacional;04 Balears, Illes;General;Índice;2023T4;165,249
Nacional;04 Balears, Illes;General;Índice;2023T3;167,280
Nacional;04 Balears, Illes;General;Índice;2023T2;162,183
Nacional;04 Balears, Illes;General;Índice;2023T1;159,060
Nacional;04 Balears, Illes;General;Índice;2022T4;158,300
Nacional;04 Balears, Illes;General;Índice;2022T3;160,112
Nacional;04 Balears, Illes;General;Índice;2022T2;157,098
Nacional;04 Balears, Illes;General;Índice;2022T1;152,625
Nacional;04 Balears, Illes;General;Índice;2021T4;149,462
Nacional;04 Balears, Illes;General;Índice;2021T3;147,791
Nacional;04 Balears, Illes;General;Índice;2021T2;141,694
Nacional;04 Balears, Illes;General;Índice;2021T1;136,265
Nacional;04 Balears, Illes;General;Índice;2020T4;136,398
Nacional;04 Balears, Illes;General;Índice;2020T3;138,410
Nacional;04 Balears, Illes;General;Índice;2020T2;134,061
Nacional;04 Balears, Illes;General;Índice;2020T1;134,726
Nacional;04 Balears, Illes;General;Índice;2019T4;133,139
Nacional;04 Balears, Illes;General;Índice;2019T3;133,920
Nacional;04 Balears, Illes;General;Índice;2019T2;128,181
Nacional;04 Balears, Illes;General;Índice;2019T1;127,149
Nacional;04 Balears, Illes;General;Índice;2018T4;126,178
Nacional;04 Balears, Illes;General;Índice;2018T3;126,301
Nacional;04 Balears, Illes;General;Índice;2018T2;121,782
Nacional;04 Balears, Illes;General;Índice;2018T1;118,479
Nacional;04 Balears, Illes;General;Índice;2017T4;118,636
Nacional;04 Balears, Illes;General;Índice;2017T3;118,005
Nacional;04 Balears, Illes;General;Índice;2017T2;112,337
Nacional;04 Balears, Illes;General;Índice;2017T1;109,530
Nacional;04 Balears, Illes;General;Índice;2016T4;108,090
Nacional;04 Balears, Illes;General;Índice;2016T3;108,189
Nacional;04 Balears, Illes;General;Índice;2016T2;104,630
Nacional;04 Balears, Illes;General;Índice;2016T1;103,795
Nacional;04 Balears, Illes;General;Índice;2015T4;102,261
Nacional;04 Balears, Illes;General;Índice;2015T3;102,692
Nacional;04 Balears, Illes;General;Índice;2015T2;99,624
Nacional;04 Balears, Illes;General;Índice;2015T1;95,424
Nacional;04 Balears, Illes;General;Índice;2014T4;95,569
Nacional;04 Balears, Illes;General;Índice;2014T3;94,725
Nacional;04 Balears, Illes;General;Índice;2014T2;92,815
