"","","","","","","","Servicio Público de Empleo Estatal",""
"Evolución del paro registrado según sectores. Últimos 10 años.","","","","","","","",""
"","","","","","","","",""
"","","","TOTAL","AGRICULTURA","INDUSTRIA","CONSTRUCCIÓN","SERVICIOS","SIN EMPLEO ANT."
"","","","","","","","",""
"","202307","JULIO","2,677,874","104,817","212,568","209,304","1,905,031","246,154"
"","202308","AGOSTO","2,702,700","101,943","215,051","214,096","1,928,128","243,482"
"","202309","SEPTIEMBRE","2,722,468","99,843","214,867","210,378","1,946,948","250,432"
"","202310","OCTUBRE","2,759,404","101,965","217,285","209,565","1,978,229","252,360"
"","202311","NOVIEMBRE","2,734,831","99,790","214,631","208,493","1,960,894","251,023"
"","202312","DICIEMBRE","2,707,456","97,825","216,112","213,778","1,935,736","244,005"
"","","","","","","","",""
"2024","202401","ENERO","2,767,860","99,081","216,552","212,544","1,994,457","245,226"
"","202402","FEBRERO","2,760,408","98,766","214,687","210,111","1,985,909","250,935"
"","202403","MARZO","2,727,003","97,264","212,632","209,778","1,954,615","252,714"
"","202404","ABRIL","2,666,500","93,813","208,199","204,876","1,912,548","247,064"
"","202405","MAYO","2,607,850","91,564","204,484","201,009","1,868,081","242,712"
"","202406","JUNIO","2,561,067","91,297","200,096","198,055","1,831,056","240,563"
"","202407","JULIO","2,550,237","89,763","199,807","198,563","1,824,465","237,639"
"","202408","AGOSTO","2,572,121","87,426","202,802","202,750","1,844,654","234,489"
"","202409","SEPTIEMBRE","2,575,285","85,911","201,437","197,894","1,849,005","241,038"
"","202410","OCTUBRE","2,602,054","87,514","202,984","196,218","1,871,337","244,001"
"","202411","NOVIEMBRE","2,586,018","85,612","200,716","194,094","1,862,644","242,952"
"","202412","DICIEMBRE","2,560,718","83,593","201,591","198,490","1,841,236","235,808"
"","","","","","","","",""
"2025","202501","ENERO","2,599,443","84,692","201,350","193,963","1,885,831","233,607"
"","202502","FEBRERO","2,593,449","84,902","199,136","190,554","1,880,067","238,790"
"","202503","MARZO","2,580,138","84,809","197,638","189,645","1,865,606","242,440"
"","202504","ABRIL","2,512,718","81,486","194,718","185,828","1,815,946","234,740"
"","202505","MAYO","2,454,883","79,227","190,144","180,266","1,773,016","232,230"
"","202506","JUNIO","2,405,963","79,009","185,555","177,237","1,734,763","229,399"
"","202507","JULIO","2,404,606","78,395","185,971","177,375","1,736,781","226,084"
"","202508","AGOSTO","2,426,511","76,546","188,746","180,120","1,758,473","222,626"
"","202509","SEPTIEMBRE","2,421,665","75,380","187,324","175,450","1,755,406","228,105"
"","202510","OCTUBRE","2,443,766","76,650","188,472","173,329","1,773,902","231,413"
"","202511","NOVIEMBRE","2,424,961","75,318","186,920","172,448","1,760,889","229,386"
"","","","","","","","",""
