País de nacimiento;Grupo quinquenal de edad;Sexo;Periodo;Total
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2024;1.593.299
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2024;1.593.014
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2024;1.592.472
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2023;1.594.367
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2023;1.584.036
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2023;1.582.695
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2023;1.579.523
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2022;1.580.369
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2022;1.569.809
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2022;1.561.439
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2022;1.556.764
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2021;1.558.344
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2021;1.548.158
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2021;1.552.623
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2021;1.557.666
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2020;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2020;1.557.169
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2020;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2020;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2019;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2019;..
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2019;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2019;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2018;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2018;..
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2018;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2018;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2017;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2017;..
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2017;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2017;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2016;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2016;..
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2016;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2016;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2015;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2015;..
UE27_2020 sin España;Todas las edades;Total;1 de abril de 2015;""
UE27_2020 sin España;Todas las edades;Total;1 de enero de 2015;..
UE27_2020 sin España;Todas las edades;Total;1 de octubre de 2014;""
UE27_2020 sin España;Todas las edades;Total;1 de julio de 2014;..
